breed,temperament,size,activity level,grooming,description
Abyssinian,Playful,Medium,High,Low,"Considered to be one of the oldest cat breeds, Abyssinians are tremendously devoted felines. Their distinctive almond-shaped eyes resemble the elegance of the cat statues found in ancient Egyptian tombs. Easy to groom, they are easy to care for and make a great addition to a family. Find out more about this breed and if the Abyssinian is right for you and your family."
American Bobtail,Affectionate,Medium-to-Large,Moderate,Low,"American Bobtails resemble a wild cat, yet are a loving and affectionate breed. They do not like to be alone and like to attach themselves to their entire family, not just one person. Easy to get along with, they do well with children and other pets, including dogs. They can be either longhair or shorthair, with both being easy to groom. Find out more about this breed and if the American Bobtail is right for you and your family."
American Bobtail Shorthair,Affectionate,Medium-to-Large,Moderate,Low,"American Bobtails resemble a wild cat, yet are a loving and affectionate breed. They do not like to be alone and like to attach themselves to their entire family, not just one person. Easy to get along with, they do well with children and other pets, including dogs. They can be either longhair or shorthair, with both being easy to groom. Find out more about this breed and if the American Bobtail is right for you and your family."
American Curl,Playful,Small-to-Medium,Variable,Low,"Best known for its distinctively shaped ears, the American Curl is an eye-catching cat with a sweet disposition that thrives on human interaction. They are lovable and physically affectionate cats that easily adapt to any situation. Find out more about this breed and if an American Curl is right for you and your family."
American Curl Longhair,Playful,Small-to-Medium,Variable,Low,"Best known for its distinctively shaped ears, the American Curl is an eye-catching cat with a sweet disposition that thrives on human interaction. They are lovable and physically affectionate cats that easily adapt to any situation. Find out more about this breed and if an American Curl is right for you and your family."
American Wirehair,Gentle,Medium-to-Large,Moderate,Low,"Like its counterpart, the American Shorthair, the American Wirehair is a good-natured, easy-going medium-sized cat and is one of the most adaptable breeds for any type of household, including children and seniors. The two breeds are alike in appearance and personality, differing only in coat type. The American Wirehair has a hard “wiry” coat while the American Shorthair has a regular short coat. Wirehairs also require less grooming as compared to Shorthairs, for them the less grooming the better. Find out more about this breed and if the American Wirehair is right for you and your family."
Australian Mist,Affectionate,Medium,High,Low,The easy-going and extremely sociable Australian Mist has been known to make friends wherever they go. The can be found in a variety of colors and patterns and are considered loyal and dedicated to their owners. Find out more about this breed and if the Australian Mist is right for you and your family.
Balinese,Playful,Medium,High,Low,"Named for the exotically graceful dancers on the Indonesian island of Bali, the Balinese is a longhaired variety of the Siamese breed and part of the Siamese Breed Group which includes the Siamese, the Oriental Shorthair and the Oriental Longhair. They all share the same body type, but come with a different “paint job”. Balinese are very social and talkative and thrive within the company of other people. Find out more about this breed and if a Balinese is right for you and your family."
Bengal,Playful,Medium,High,Low,"Known for their exotic looks yet attentive and loving nature, the Bengal is one of the most recognized breeds of cat. Bengals are very social and people-oriented and thrive in the company of other people. Find out more about this breed and if a Bengal is right for you and your family."
Bengal Longhair,Playful,Medium,High,Low,"Known for their exotic looks yet attentive and loving nature, the Bengal is one of the most recognized breeds of cat. Bengals are very social and people-oriented and thrive in the company of other people. Find out more about this breed and if a Bengal is right for you and your family."
Birman,Playful,Medium-to-Large,Moderate,Low,"Gentle and affectionate by nature, the Birman has all the makings of a loyal, faithful companion. They are one of the easiest cats to handle and gives the least cause for trouble. They love to be around people and can adapt to any type of home. They are available in a variety of colors. Their loving and laid back nature has captured the hearts of cat lovers around the world. Find out why and if this breed is right for you ad your family."
Bombay,Affectionate,Medium,Low,Low,Bombay cats combine the easy-going nature of the American Shorthair with the inquisitive loving personality of the social Burmese. The Bombay are only black. They love to be in the company of their families and will greet them and visitors at the door with loving enthusiasm. Find out more about this breed and if the Bombay is right for you and your family.
